異国の杯,UI_RelicIcon_10001_1
帰郷の羽,UI_RelicIcon_10001_2
別離の冠,UI_RelicIcon_10001_3
故人の心,UI_RelicIcon_10001_4
逐光の石,UI_RelicIcon_10001_5
勇士の壮行,UI_RelicIcon_10002_1
勇士の期待,UI_RelicIcon_10002_2
勇士の冠,UI_RelicIcon_10002_3
勇士の勲章,UI_RelicIcon_10002_4
勇士の毅然,UI_RelicIcon_10002_5
守護の瓶,UI_RelicIcon_10003_1
守護の印,UI_RelicIcon_10003_2
守護の帯,UI_RelicIcon_10003_3
守護の花,UI_RelicIcon_10003_4
守護の置き時計,UI_RelicIcon_10003_5
奇跡のコップ,UI_RelicIcon_10004_1
奇跡の羽根,UI_RelicIcon_10004_2
奇跡のピアス,UI_RelicIcon_10004_3
奇跡の花,UI_RelicIcon_10004_4
奇跡の砂,UI_RelicIcon_10004_5
狂戦士のコップ,UI_RelicIcon_10005_1
狂戦士の羽根,UI_RelicIcon_10005_2
狂戦士の仮面,UI_RelicIcon_10005_3
狂戦士の薔薇,UI_RelicIcon_10005_4
狂戦士の時計,UI_RelicIcon_10005_5
武人の酒器,UI_RelicIcon_10006_1
武人の羽飾り,UI_RelicIcon_10006_2
武人のバンダナ,UI_RelicIcon_10006_3
武人の赤い花,UI_RelicIcon_10006_4
武人の水時計,UI_RelicIcon_10006_5
教官のティーカップ,UI_RelicIcon_10007_1
教官の羽飾り,UI_RelicIcon_10007_2
教官の帽子,UI_RelicIcon_10007_3
教官の花飾り,UI_RelicIcon_10007_4
教官の懐中時計,UI_RelicIcon_10007_5
博徒のツボ,UI_RelicIcon_10008_1
博徒の羽飾り,UI_RelicIcon_10008_2
博徒のピアス,UI_RelicIcon_10008_3
博徒の花飾り,UI_RelicIcon_10008_4
博徒の懐中時計,UI_RelicIcon_10008_5
亡命者のコップ,UI_RelicIcon_10009_1
亡命者の羽根,UI_RelicIcon_10009_2
亡命者の冠,UI_RelicIcon_10009_3
亡命者の花,UI_RelicIcon_10009_4
亡命者の懐中時計,UI_RelicIcon_10009_5
冒険者の金杯,UI_RelicIcon_10010_1
冒険者の羽根,UI_RelicIcon_10010_2
冒険者のバンダナ,UI_RelicIcon_10010_3
